2024-01-07 23:37:41+00:00 (UTC);ISS;46.7408,55.3093;Zhylyoi District, Kazakhstan
2024-01-08 00:01:40+00:00 (UTC);ISS;-19.1528,122.4907;Shire Of Broome, Gingerah, Australia
2024-01-08 00:23:03+00:00 (UTC);ISS;-48.3831,-141.9694;South Pacific Ocean
2024-01-08 00:25:53+00:00 (UTC);ISS;-43.5771,-128.5273;South Pacific Ocean
2024-01-08 00:30:55+00:00 (UTC);ISS;-31.6544,-110.1340;South Pacific Ocean
2024-01-08 00:32:21+00:00 (UTC);ISS;-27.7875,-105.9372;South Pacific Ocean
2024-01-08 00:34:53+00:00 (UTC);ISS;-20.5870,-99.2217;South Pacific Ocean
2024-01-08 00:37:25+00:00 (UTC);ISS;-13.1259,-93.2007;South Pacific Ocean
2024-01-08 00:39:56+00:00 (UTC);ISS;-5.5264,-87.5940;South Pacific Ocean
2024-01-08 00:40:46+00:00 (UTC);ISS;-2.9907,-85.7829;South Pacific Ocean
2024-01-08 00:43:48+00:00 (UTC);ISS;6.1978,-79.2459;North Pacific Ocean
2024-01-08 00:45:54+00:00 (UTC);ISS;12.5204,-74.5829;Caribbean Sea
2024-01-08 00:46:14+00:00 (UTC);ISS;13.5448,-73.8004;Caribbean Sea
2024-01-08 00:48:45+00:00 (UTC);ISS;20.9555,-67.7819;North Atlantic Ocean
2024-01-08 00:51:16+00:00 (UTC);ISS;28.1058,-61.0562;Sargasso Sea
2024-01-08 00:53:47+00:00 (UTC);ISS;34.8087,-53.3107;Sargasso Sea
2024-01-08 01:03:25+00:00 (UTC);ISS;51.2450,-8.5584;North Atlantic Ocean
2024-01-08 01:05:57+00:00 (UTC);ISS;51.4464,6.6095;Schwalbenstraße 10, 47441 Moers, Germany
2024-01-08 01:08:29+00:00 (UTC);ISS;49.5728,21.1637;Owczary, Gorlice County, Poland
2024-01-08 01:11:01+00:00 (UTC);ISS;45.9133,34.0573;Магазинское сельское поселение, Krasnoperekopsk Raion, Ukraine
2024-01-08 01:13:42+00:00 (UTC);ISS;40.5040,45.6513;Alnabat, Gedebey District, Azerbaijan
2024-01-08 01:16:13+00:00 (UTC);ISS;34.4317,54.6988;دهستان طرود, Shahrud County, Iran
2024-01-08 01:18:44+00:00 (UTC);ISS;27.7051,62.3655;دهستان سینگان, Golshan County, Iran
2024-01-08 01:21:17+00:00 (UTC);ISS;20.4707,69.0972;Arabian Sea
